index,value
0,4048
1,10484
2,10847
3,11403
4,3056
5,4210
6,23947
7,24150
8,31708
9,31494
10,4103
11,3188
12,19470
13,30992
14,20296
15,4821
16,7106
17,21422
18,2948
19,32293
20,27912
21,19583
22,26729
23,27051
24,6935
25,2733
26,1550
27,29809
28,2788
29,22826
30,22058
31,4517
32,18931
33,6713
34,20868
35,14399
36,3949
37,5169
38,8618
39,13796
40,21364
41,31613
42,4838
43,10506
44,28851
45,24040
46,25198
47,26206
48,1081
49,21272
50,15579
51,19810
52,32647
53,5719
54,220
55,20571
56,8423
57,28058
58,6700
59,13162
60,17920
61,443
62,2241
63,18169
64,19624
65,3082
66,26695
67,8536
68,30201
69,32004
70,3020
71,7080
72,32679
73,98
74,445
75,5625
76,26512
77,598
78,5137
79,18095
80,3477
81,6673
82,6340
83,6442
84,10153
85,32136
86,9863
87,24486
88,15399
89,25208
90,438
91,23647
92,5737
93,28839
94,21898
95,26105
96,27030
97,10606
98,3472
99,11040
